KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
SIRANDORUNG,1010,4761,5771
PURBA TUA,482,2920,3402
PAGARAN,308,7648,7956
MANDUAMAS,1828,5877,7705
SARUDIK,0,0,0
ADIAN KOTING,518,5878,6396
SIATAS BARITA,664,5661,6325
PAHAE JULU,586,5306,5892
TANO TOMBANGAN ANGKOLA,1431,6247,7678
ARSE,2975,1570,4545
MUARA,229,6506,6735
MARANCAR,3491,1451,4942
SIPAHUTAR,706,10962,11668
BATANG ANGKOLA,11997,3672,15669
AEK BILAH,2908,975,3883
PARMONANGAN,303,6447,6750
SIPOHOLON,936,9178,10114
ANGKOLA SANGKUNUR,3871,5876,9747
SAYUR MATINGGI,7994,3401,11395
SIPIROK,11369,4333,15702
ANGKOLA TIMUR,8052,1963,10015
PAHAE JAE,821,4304,5125
MUARA BATANG TORU,2141,2946,5087
GIDO,517,8501,9018
BATANG TORU,7160,7530,14690
BAHOROK,0,0,0
SIRAPIT,4312,4443,8755
BOTOMUZOI,387,3819,4206
SAWIT SEBERANG,5258,7260,12518
BATANG SERANGAN,0,0,0
HILISERANGKAI,427,5891,6318
ANGKOLA SELATAN,5712,6129,11841
BABALAN,12053,12274,24327
SAIPAR DOLOK HOLE,4687,2178,6865
ULUGAWO,486,4785,5271
BRANDAN BARAT,0,0,0
PANGKALAN SUSU,0,0,0
HILIDUHO,222,4117,4339
BESITANG,0,0,0
IDANO GAWO,2099,9244,11343
TANJUNG PURA,0,0,0
BAWOLATO,1524,7707,9231
SEI LEPAN,9688,12619,22307
BINJAI,13548,8475,22023
KUTAMBARU,2173,4877,7050
GEBANG,10299,9860,20159
SALAPIAN,5536,8311,13847
KUALA,11025,9508,20533
SIMPANG EMPAT,1356,8141,9497
WAMPU,11793,9067,20860
STABAT,0,0,0
PAYUNG,667,4816,5483
LAUBALENG,929,7498,8427
SELESAI,0,0,0
HINAI,0,0,0
SECANGGANG,17900,14641,32541
MARDINGDING,735,7003,7738
PADANG TUALANG,11242,12489,23731
SEI BINGEI,8473,14775,23248
MERDEKA,1105,5109,6214
NAMAN TERAN,986,4123,5109
GUNUNG MERIAH,0,0,0
KABANJAHE,5367,21660,27027
PEMATANG JAYA,0,0,0
BATANG KUIS,16245,8625,24870
BERASTAGI,4211,14167,18378
MEREK,854,8271,9125
DOLAT RAYAT,483,3606,4089
TIGABINANGA,1594,8804,10398
